,0,1,2,3
0,手表,['[ shǒubiǎo ]'],"['手', '表']","['#/entry/zhko/441b945bb46e461ca4df707943863949', '#/entry/zhko/2c06930f0e804d66bc79a255741dbc5a']"
1,礼物,['[ lǐwù ]'],"['礼', '物']","['#/entry/zhko/415ab344edfa4975bc94656ebe8485fe', '#/entry/zhko/5e50029ed50e4d4ca47077559be88077']"
2,汽油,['[ qìyóu ]'],"['汽', '油']","['#/entry/zhko/a4a7925d6fd245aa95daee4d3581faad', '#/entry/zhko/6953f33694814e0b9a56bc91c65a0cd2']"
3,章程,['[ zhāngchéng ]'],"['章', '程']","['#/entry/zhko/b5d94b3b01d6471ca8a79d6cddaaa42b', '#/entry/zhko/4a213e3bbf3a4442b259259d91484e34']"
4,片刻,['[ piànkè ]'],"['片', '刻']","['#/entry/zhko/ede4a3f4e94c404685d43344245dd71c', '#/entry/zhko/01881747f10c4107884450cea7d622c8']"
5,纠正,['[ jiūzhèng ]'],"['纠', '正']","['#/entry/zhko/9f7bd0f1497748d6b9dc71538fcf632a', '#/entry/zhko/51c5decf26b24015b0c57b83c1881525']"
6,根源,['[ gēnyuán ]'],"['根', '源']","['#/entry/zhko/f760dd0dacd144ef871ed080e922f5fa', '#/entry/zhko/af8244f288a24e30b26ea5ea8f6b29e4']"
7,集合,['[ jíhé ]'],"['集', '合']","['#/entry/zhko/ba5593d2c2b6445fa7af4255f184739a', '#/entry/zhko/61727e18099d4647984e17b3dc242dfa']"
8,谣言,['[ yáoyán ]'],"['谣', '言']","['#/entry/zhko/b89b3b346f944272b6f9878312852fb7', '#/entry/zhko/88bc954917b44d42ba58b9a30981a2dc']"
9,终于,['[ zhōngyú ]'],"['终', '于']","['#/entry/zhko/f318bc558e1d4fbca5bc536599592324', '#/entry/zhko/3ffe9f569b8e4f98b5ba79f1e05e1c76']"
10,消除,['[ xiāochú ]'],"['消', '除']","['#/entry/zhko/8c384df1c90b47d48e2e8a352a25e5fd', '#/entry/zhko/ff7419492faf45c9b0e070fd0ac91df3']"
11,真理,['[ zhēnlǐ ]'],"['真', '理']","['#/entry/zhko/5c17bdba61194d978c6e1411152ccbca', '#/entry/zhko/024d210665774d08bd6a3141e1781ab4']"
12,非常,['[ fēicháng ]'],"['非', '常']","['#/entry/zhko/f78478a2f53b4fc7b88cfffe0deedd81', '#/entry/zhko/1e2aa193737a48d9a4df14ea3658a414']"
13,定期,['[ dìngqī ]'],"['定', '期']","['#/entry/zhko/75de534fb80a4610b7b7068b4b246b0b', '#/entry/zhko/3a82f9811cfa414c8b8f8750d30bb0b4']"
14,迎面儿,['[ yíng//miàn(r) ]'],"['迎', '面', '儿']","['#/entry/zhko/90c7ab987eab46cbbc3367846fa37a3b', '#/entry/zhko/058af9e47216414db5e45ee9dc8f578f', '#/entry/zhko/2e54c2a8f93c464192be8615d6c66a0a']"
15,经历,['[ jīnglì ]'],"['经', '历']","['#/entry/zhko/5b8d20d9d11d4e11bf0e5efb3424644c', '#/entry/zhko/3abb40f7ba8f4ca6a0b49a7ef4d9fecf']"
16,拥护,['[ yōnghù ]'],"['拥', '护']","['#/entry/zhko/6f6aa4efffac4e4dbf160cdf65faf4e3', '#/entry/zhko/a0d1fc8330cb4381aba211b9c71b0ec8']"
17,声誉,['[ shēngyù ]'],"['声', '誉']","['#/entry/zhko/43d6540518534bfab5417399bbc3a56b', '#/entry/zhko/362d6646b0ff4b1e8e3f25a40ff29f15']"
18,观察,['[ guānchá ]'],"['观', '察']","['#/entry/zhko/685508d9dd5a470e8353e6ae8576db45', '#/entry/zhko/1e0d7c16d99a49d3be805741bd3dbb0b']"
19,羽毛球,['[ yǔmáoqiú ]'],"['羽', '毛', '球']","['#/entry/zhko/c1f36f95fad54b80a740a96857b9441c', '#/entry/zhko/fd2bfb64cddf4698a3f9cf7d56f91e00', '#/entry/zhko/2cf2824848854e278856258e4203a93f']"
20,理发,['[ lǐ//fà ]'],"['理', '发']","['#/entry/zhko/024d210665774d08bd6a3141e1781ab4', '#/entry/zhko/90dde58de4ac43d8a7b44106573447ed']"
21,展现,['[ zhǎnxiàn ]'],"['展', '现']","['#/entry/zhko/1ffbba5b6270416cbd8226f9dd95f17a', '#/entry/zhko/ba7e27d5a8234852b479177b02318e02']"
22,只要,['[ zhǐyào ]'],"['只', '要']","['#/entry/zhko/714bf332166d4efbba0a0fd41c35ceb6', '#/entry/zhko/82ba79159d5c49d8adb5d222e35beee6']"
23,刹那,['[ chànà ]'],"['刹', '那']","['#/entry/zhko/34b547a5b91f4cc486daab4d9c19fb4f', '#/entry/zhko/e74c93c6ee9949dca7d2773fc7614b92']"
