,0,1,2,3,4
0,街道,['[ jiēdào ]'],"['街', '道']","['#/entry/zhko/2eea48e76c4e415aad2f31e4aa829ee2', '#/entry/zhko/2542366336044a2f810c8fd2d69b7859']",1.가도   2.가로   3.거리   4.지역 주민과 관련된 사무 기구나 사무
1,召开,['[ zhàokāi ]'],"['召', '开']","['#/entry/zhko/f7927bf4198d45ec834d73c22f231332', '#/entry/zhko/e6e76b146dd644b494cde29a7d4b650c']",
2,零钱,['[ língqián ]'],"['零', '钱']","['#/entry/zhko/fed0915b6e2943aea54207043fc90efe', '#/entry/zhko/e38a2139a2824be58d2fe243aa35b53f']",1.소액화폐   2.부수입   3.용돈
3,配备,['[ pèibèi ]'],"['配', '备']","['#/entry/zhko/1ed8b095f4b246298da90847c270fb8e', '#/entry/zhko/f2122197d30f4f308765f42038b1e672']",1.분배하다   2.배치하다   3.잘 갖추어진 설비
4,方面,['[ fāngmiàn ]'],"['方', '面']","['#/entry/zhko/9f5bf388a498482e98b94a43fef10281', '#/entry/zhko/058af9e47216414db5e45ee9dc8f578f']",1.방면   2.분야   3.모난 얼굴
5,未必,['[ wèibì ]'],"['未', '必']","['#/entry/zhko/6e555d438f164fa8a54d3e488bcc0cff', '#/entry/zhko/8a6caa04c41d4d4e82d98c8d47a90ed4']",1.반드시 …한 것은 아니다   2.꼭 그렇다고 할 수 없다
6,频道,['[ píndào ]'],"['频', '道']","['#/entry/zhko/bdd92866fccf4af38c6c1b21792b4cec', '#/entry/zhko/2542366336044a2f810c8fd2d69b7859']",
7,事物,['[ shìwù ]'],"['事', '物']","['#/entry/zhko/458a9430bb7645a68b1529dfde8dbae5', '#/entry/zhko/5e50029ed50e4d4ca47077559be88077']",1.사물   2.事务(3)
8,采集,['[ cǎijí ]'],"['采', '集']","['#/entry/zhko/48269a1314784a02aa8e13f883706bde', '#/entry/zhko/ba5593d2c2b6445fa7af4255f184739a']",1.채집   2.수집
9,黎明,['[ límíng ]'],"['黎', '明']","['#/entry/zhko/c9d0815d684d48a88a65ff1e5fb7e916', '#/entry/zhko/61f798567d2e4b578ff22974ee6c7c8e']",1.여명   2.갓밝이   3.새벽   4.동틀 무렵
10,模特,['[ mótè ]'],"['模', '特']","['#/entry/zhko/6b3aa42d109f4ad8b4bfcd24cf321cc7', '#/entry/zhko/7d652402735e4dbaacc9bad35873495b']",
11,时代,['[ shídài ]'],"['时', '代']","['#/entry/zhko/35d9a75c775941d6b00f2c0abf0299d8', '#/entry/zhko/1a66fc12af234c5da597f733b90998dc']",1.시대   2.시기   3.당시
