,0,1
0,飞,"['HSK 1급 단어', '#/entry/zhko/166ee6a8537844da863ca66f8b4e2355', 'HSK 3급 단어', '#/entry/zhko/4cb15aa12cc4433f880ad8ea4bbf4460', 'HSK 6급 단어', '#/entry/zhko/b19bae128d794cf0b893525392048ea3', '#/entry/zhko/f13238b035e94e7892362ef13b4fdbfa', '#/entry/zhko/efa0c1e1959742539165420a4d30d7ad']"
1,业,"['HSK 3급 단어', '#/entry/zhko/6337670fe0704aa0bd9198c7c5e4a3a1', 'HSK 4급 단어', '#/entry/zhko/f4db5933cdaf43998fb23fcea37796a7', '#/entry/zhko/44687c3192814b43973961708baa21fe', '#/entry/zhko/90b1e06b11324ac6a0c9fbbe01f044cc', 'HSK 5급 단어', '#/entry/zhko/1e7f916aa80a4845a31f64687ef83995', '#/entry/zhko/df469fb45344498fba8d4fe811a79b4d', '#/entry/zhko/47342236f00d4bc98587c2bf6a6beb34', '#/entry/zhko/3d582219b8c14ae19591fd5ce96f3dce', '#/entry/zhko/aac05c6557764545be8cd52e521270bb', '#/entry/zhko/ba59841f3cfd482f8f0f6218d3bde9be', '#/entry/zhko/e2cdaa50cdfa45d6956da1edaa67f900', '#/entry/zhko/68b3f1881fb6447387b42f81b44e49ac', 'HSK 6급 단어', '#/entry/zhko/753305a174394d7cbbbee058f7726f8c', '#/entry/zhko/01c6f5d97baa426187d46ecd819a1d27', '#/entry/zhko/2ee81b3b29cf440aac8e9185401828b6', '#/entry/zhko/07045ccccedf4ee0b0e3f38a988e9449', '#/entry/zhko/bc8d486cb7714db490f9e7d0dc7edd86', '#/entry/zhko/a30cf31372e942658c9362b76d7f8586', '#/entry/zhko/ba664a70858d4a9b8b72fcc4fefeff0b']"
2,续,"['HSK 5급 단어', '#/entry/zhko/8ee02e49b1ed413386a1b2a89e911380', '#/entry/zhko/e542302f72ff44a19df44ce604fbab5c', '#/entry/zhko/f8ecf5b68d2e492ca47e4e53f60e7c37', '#/entry/zhko/6e6375891bbc4954a38739fb01b77ef4', 'HSK 6급 단어', '#/entry/zhko/4696bab0e0714c49a3acf670f09c2828']"
3,母,"['HSK 4급 단어', '#/entry/zhko/edd1eac7ec08430889abd521b11a4317', 'HSK 5급 단어', '#/entry/zhko/80b7fcf5e3564468b251ee1c798c9e57', 'HSK 6급 단어', '#/entry/zhko/3d3d50bf10914bcaa22e102d0d237047', '#/entry/zhko/65b69fbb71cf427ea1dd677681a9a06b', '#/entry/zhko/1f2f53b8e62a4dea944d4b8399fadd97']"
4,空,"['HSK 3급 단어', '#/entry/zhko/218a91511211440b94e2e933c3d455f0', 'HSK 4급 단어', '#/entry/zhko/247d430437a8403d8c8fb714133ff8db', 'HSK 5급 단어', '#/entry/zhko/3f589925dd054756985db8a4d5e9d7db', '#/entry/zhko/69916abce9904209b686c56d467c2525', 'HSK 6급 단어', '#/entry/zhko/7596eff6a7394bd896bf30319b8276f5', '#/entry/zhko/886a697aeceb42b7b96a48dd48c89f36', '#/entry/zhko/e4082d29512342e5b69e62a6255ca79c', '#/entry/zhko/9767bbe733ad4f05a0d8f70be56b6424', '#/entry/zhko/c63f1d07d7a14d4f9ca001749fa81289', '#/entry/zhko/1a64de4895164255bea73417ef4b6173']"
5,军,"['HSK 5급 단어', '#/entry/zhko/531ed4cf2b8f418ea92d34fb7962c650', '#/entry/zhko/e4262639160042d08378d187d08d1e00', 'HSK 6급 단어', '#/entry/zhko/22d80dc02d704fad95afe089a857634d', '#/entry/zhko/c876dae6bad2404d9cc0707c03b9459c', '#/entry/zhko/81e68b305f88475d94c8c2db1e67b099', '#/entry/zhko/d5cb39d9b7cf44698f6af2801590fded']"
6,跑,"['HSK 2급 단어', '#/entry/zhko/f5347611f5644bc688bf2888b3b6127d']"
7,尽,"['HSK 5급 단어', '#/entry/zhko/1a9b24c27b5442bc8bb843a28c134648', 'HSK 6급 단어', '#/entry/zhko/f6018e8b0e134df797dc27c723defb3f', '#/entry/zhko/974cd8dbdf074de486f2d1f62dc31c24']"
8,注,"['HSK 3급 단어', '#/entry/zhko/738b5ea87d7f410c8a4ecc080a849f48', 'HSK 6급 단어', '#/entry/zhko/95d048f91d72492798d5c8251b4832c8', '#/entry/zhko/7be13d519d314afba13f73f5bd3049c9', '#/entry/zhko/d6a51106cdae4bdf9c67b9bf0f135a5f']"
9,弄,"['HSK 6급 단어', '#/entry/zhko/cde8563a68a648eab3eac14cd8ab40ba']"
10,务,"['HSK 2급 단어', '#/entry/zhko/b79025427109494c89c7c22b146b92aa', 'HSK 5급 단어', '#/entry/zhko/7726b879fa614323aadfed6eeb0de6b1', '#/entry/zhko/4ef39859696b438c8fa81b38c85a0d4b', '#/entry/zhko/aac05c6557764545be8cd52e521270bb', '#/entry/zhko/62f93a6ee7334353ba52eea78a1820bb', 'HSK 6급 단어', '#/entry/zhko/160f699f91094db5ba3c2e020a7312c4', '#/entry/zhko/8008268c876f4333a232acfe34b96fb8', '#/entry/zhko/fee1db6a8169490b9c5bb829f12be03a', '#/entry/zhko/1cb646bef649487c8f22d0e51e9c2e70', '#/entry/zhko/8556ea4058ca4402bbfbcfa1593cfeb7', '#/entry/zhko/9dcb73c10fb14729ad651a633c8e3f36']"
11,基,"['HSK 4급 단어', '#/entry/zhko/97a2d0c7bb914b33a37c187659b9abac', 'HSK 5급 단어', '#/entry/zhko/0cbb40fbca5b4ee8a5714b8c0a9030ed', 'HSK 6급 단어', '#/entry/zhko/4edf475691d84bfaaf6ad97d302d2bc8', '#/entry/zhko/149c25aa579f4f8b9707f2cd59418d6b', '#/entry/zhko/6cf9209260584de082e11461c1a4acc9']"
12,台,"['HSK 5급 단어', '#/entry/zhko/0ab922ab525f494db10ed88da198c0e7', '#/entry/zhko/5b3f615aff1c4cbcb0da6930a2d0b98c', '#/entry/zhko/ee83866d1628428998333cb793a66124', '#/entry/zhko/5ef11f543ce94ba7a14a9718a00b4f1f', 'HSK 6급 단어', '#/entry/zhko/333732b93a2e4ed1b30428d9fa1cb2e3']"
13,另,"['HSK 4급 단어', '#/entry/zhko/6373b3be4d4b4214b28e1c68f12c39e2']"
14,书,"['HSK 3급 단어', '#/entry/zhko/223141acbea548e4800aa63aedbef0fc', 'HSK 5급 단어', '#/entry/zhko/002bfadbdb9c49318cb8e2035fe38ba8', '#/entry/zhko/ab56c58ebb1948269eb0db27c1c053e6', 'HSK 6급 단어', '#/entry/zhko/2c538b862acc434b8454b25eca9a2e8e', '#/entry/zhko/51d38d739c9c44eca237a3f2d08caffd', '#/entry/zhko/e58c6c4d549c48c49711d1e54aeda508']"
15,统,"['HSK 5급 단어', '#/entry/zhko/3c34775d045e411ea750265f43f70747', '#/entry/zhko/facac10e82074c5885d55d0a29a08c82', '#/entry/zhko/dedb94b18970469a9a0a7a6aefcc2cd1', '#/entry/zhko/cbd3ec22bbba4cb785228bbcd872471d', 'HSK 6급 단어', '#/entry/zhko/6ecb9f4833364c50b10b6ff05d72c350', '#/entry/zhko/317c3ad3f9c94f42b33b4f946c9fa9f3', '#/entry/zhko/753a8bcdf4654c46861837ab16bbafc0', '#/entry/zhko/a286ad27a7a54d5d88e9169605b3e238']"
16,风,"['HSK 3급 단어', '#/entry/zhko/436439396ab948ec983d012b90598f96', 'HSK 5급 단어', '#/entry/zhko/4104e911f2ba49858fed47cee59a56bf', '#/entry/zhko/29c262db00d44bbcb0a83ba962d6fee8', '#/entry/zhko/587e5ddb8c324bd2a7a07b0b993c1671', '#/entry/zhko/d2207e8a02324f05a4cbde77f50fad93', '#/entry/zhko/3b7f69e7bb57474c8db3c24bf2cd7814', 'HSK 6급 단어', '#/entry/zhko/2f73f5d5a26641a6a0e50676171b2963', '#/entry/zhko/9c25f56dcb57400baa9ba2d242dc0546', '#/entry/zhko/d999548fa94145849d2169555903a6f5', '#/entry/zhko/333732b93a2e4ed1b30428d9fa1cb2e3', '#/entry/zhko/bfdb67e5558b41fb9ecdf3f149a97f07', '#/entry/zhko/f38058d8f50d4906949fa5661f1360c9', '#/entry/zhko/2ea1a01a69bb44c580c0e5770bccc925', '#/entry/zhko/a2e1d73b46fd47e4b37ac7b12e091573', '#/entry/zhko/a3058093865045b6833c8e6e6dcb981e', '#/entry/zhko/bcbaa1c2f57647fea16611a4ab813bc4', '#/entry/zhko/f489a2b0c94c4c1eaccde0eebf933074', '#/entry/zhko/1de87b054ca54264a3524a324bb0ecdb']"
17,况,"['HSK 4급 단어', '#/entry/zhko/f6fde44393cb4dae8bd3bdbd97ade6f1', 'HSK 5급 단어', '#/entry/zhko/0b652932cbad4872a94e406efe9a4aa9', '#/entry/zhko/4e4acab63fd1434fba26417ff0f03455', 'HSK 6급 단어', '#/entry/zhko/76b6210076884d19b277df57d3d43d88']"
18,四,"['HSK 6급 단어', '#/entry/zhko/bff7aceae44b4be8b212d95fc6645cbd', '#/entry/zhko/b5652eb60b2341afafdfd04a8482516e']"
19,黑,"['HSK 3급 단어', '#/entry/zhko/357f7d46ebbf42febbd10398bf57d527', 'HSK 6급 단어', '#/entry/zhko/e2e7c6ffe44e43adaedc3e7e90482769']"
20,否,"['HSK 4급 단어', '#/entry/zhko/70289efc406f452f8e6bd5e9bb3bbe4e', 'HSK 5급 단어', '#/entry/zhko/a5ef71faa5b74581a31f36f112050410', 'HSK 6급 단어', '#/entry/zhko/b7f1740b94f944ba930f52f7ec80e1d0']"
21,险,"['HSK 4급 단어', '#/entry/zhko/91f68b664872429ea4ad850d58efb43f', 'HSK 5급 단어', '#/entry/zhko/4104e911f2ba49858fed47cee59a56bf', '#/entry/zhko/abfe493eb91c42d7a5685e23e677b7fc', '#/entry/zhko/3c943aea9f4543a7b850d30b643e701f']"
