,0
0,相
1,"['[ xiàng ]', '1.외모 \xa0 2.물체의 외관 \xa0 3.사진 \xa0 4.자세']"
2,全
3,"['[ quán ]', '1.완전하다 \xa0 2.보전시키다 \xa0 3.전체의 \xa0 4.전부']"
4,杀
5,"['[ shā ]', '1.죽이다 \xa0 2.베다 \xa0 3.죽다 \xa0 4.싸우다']"
6,需
7,"['[ xū ]', '1.필요로 하다 \xa0 2.요구되다 \xa0 3.필수품 \xa0 4.수요']"
8,放
9,"['[ fàng ]', '1.놓아 주다 \xa0 2.파하다 \xa0 3.거리낌 없이 하다 \xa0 4.방목하다']"
10,常
11,"['[ cháng ]', '1.일반적인 \xa0 2.불변의 \xa0 3.자주 \xa0 4.법칙']"
12,直
13,"['[ zhí ]', '1.곧다 \xa0 2.수직이다 \xa0 3.세로의 \xa0 4.곧게 하다']"
14,才
15,"['[ cái ]', '1.재능 \xa0 2.재능이 있는 사람 \xa0 3.사람을 비방해서 하는 말 \xa0 4.재목을 재는 단위']"
16,于
17,"['[ yú ]', '1.…에게 \xa0 2.…부터 \xa0 3.…보다 \xa0 4.…에게']"
18,带
19,"['[ dài ]', '1.띠 \xa0 2.타이어 \xa0 3.지대 \xa0 4.백대']"
20,今
21,"['[ jīn ]', '1.지금 \xa0 2.지금의 \xa0 3.이']"
22,工
23,"['[ gōng ]', '1.일꾼 \xa0 2.노동 \xa0 3.공사 \xa0 4.공업']"
24,许
25,"['[ xǔ ]', '1.칭찬하다 \xa0 2.약속하다 \xa0 3.약혼하다 \xa0 4.허가하다']"
26,东
27,"['[ dōng ]', '1.동쪽 \xa0 2.주인 \xa0 3.초대자 \xa0 4.성']"
28,名
29,"['[ míng ]', '1.이름 \xa0 2.이름을 …라고 하다 \xa0 3.명목 \xa0 4.명성']"
30,同
31,"['[ tóng ]', '1.같다 \xa0 2.…와 같다 \xa0 3.함께 \xa0 4.…와 함께']"
32,长
33,"['[ cháng ]', '1.길다 \xa0 2.공간적 거리 \xa0 3.시간적 거리 \xa0 4.길이']"
34,亦
35,"['[ yì ]', '1.…도 역시 \xa0 2.다만 …뿐 \xa0 3.성']"
36,种
37,"['[ zhǒng ]', '1.품종 \xa0 2.인종 \xa0 3.씨 \xa0 4.밸']"
38,者
39,"['[ zhě ]', '1.것 \xa0 2.자 \xa0 3.…란']"
40,嘿
41,"['[ hēi ]', '1.어이 \xa0 2.야 \xa0 3.하']"
42,学
43,"['[ xué ]', '1.배우다 \xa0 2.모방하다 \xa0 3.학문 \xa0 4.학과']"
44,安
45,"['[ ān ]', '1.안정되다 \xa0 2.안정시키다 \xa0 3.평안히 \xa0 4.마음에 편안히 여기다']"
46,尔
47,"['[ ěr ]', '1.너 \xa0 2.이러하다 \xa0 3.그것 \xa0 4.耳(2)']"
48,叫
49,"['[ jiào ]', '1.외치다 \xa0 2.짖다 \xa0 3.소리를 내다 \xa0 4.불러오다']"
50,理
51,"['[ lǐ ]', '1.결 \xa0 2.도리 \xa0 3.자연 과학 \xa0 4.관리하다']"
52,本
53,"['[ běn ]', '1.뿌리나 줄기 \xa0 2.근본 \xa0 3.본전 \xa0 4.중심의']"
54,国
55,"['[ guó ]', '1.국가 \xa0 2.자기 나라 \xa0 3.국내 최고의 \xa0 4.성']"
56,第
57,"['[ dì ]', '1.제 \xa0 2.과거 급제 \xa0 3.차례 \xa0 4.저택']"
58,友
59,"['[ yǒu ]', '1.친구 \xa0 2.친하다 \xa0 3.사귀다 \xa0 4.성']"
60,高
61,"['[ gāo ]', '1.높다 \xa0 2.상대방과 관련 있는 것을 높여서 부른 말 \xa0 3.높은 곳']"
62,两
63,"['[ liǎng ]', '1.2 \xa0 2.쌍방 \xa0 3.두어 \xa0 4.두 가지의']"
64,保
65,"['[ bǎo ]', '1.보호하다 \xa0 2.보지하다 \xa0 3.책임지다 \xa0 4.보증하다']"
66,请
67,"['[ qǐng ]', '1.요청하다 \xa0 2.초빙하다 \xa0 3.사다']"
68,非
69,"['[ fēi ]', '1.과실 \xa0 2.…에 맞지 않다 \xa0 3.그르다고 여기다 \xa0 4.…이 아니다']"
70,重
71,"['[ zhòng ]', '1.무게 \xa0 2.무겁다 \xa0 3.심하다 \xa0 4.상당하다']"
72,公
73,"['[ gōng ]', '1.국유의 \xa0 2.공동의 \xa0 3.세계 공통의 \xa0 4.공개하다']"
74,记
75,"['[ jì ]', '1.기억하다 \xa0 2.적다 \xa0 3.기호']"
76,身
77,"['[ shēn ]', '1.몸 \xa0 2.생명 \xa0 3.자기 \xa0 4.사람의 품격과 수양']"
78,受
79,"['[ shòu ]', '1.받아들이다 \xa0 2.받다 \xa0 3.참다 \xa0 4.노동하다']"
80,住
81,"['[ zhù ]', '1.살다 \xa0 2.숙박하다 \xa0 3.멎다 \xa0 4.종사하다']"
82,活
83,"['[ huó ]', '1.살다 \xa0 2.산 채로 \xa0 3.살리다 \xa0 4.활기차다']"
84,加
85,"['[ jiā ]', '1.더하다 \xa0 2.증가하다 \xa0 3.붙이다 \xa0 4.하다']"
86,何
87,"['[ hé ]', '1.의문을 나타냄 \xa0 2.무엇 \xa0 3.어디 \xa0 4.왜']"
88,伙
89,"['[ huǒ ]', '1.식사 \xa0 2.동료 \xa0 3.떼 \xa0 4.무리']"
90,题
91,"['[ tí ]', '1.제 \xa0 2.문제 \xa0 3.적다 \xa0 4.말하다']"
92,完
93,"['[ wán ]', '1.완전하다 \xa0 2.다하다 \xa0 3.완성하다 \xa0 4.끝장나다']"
94,接
95,"['[ jiē ]', '1.가까이 가다 \xa0 2.잇다 \xa0 3.잡다 \xa0 4.받다']"
96,拿
97,"['[ ná ]', '1.잡다 \xa0 2.완력으로 제압하다 \xa0 3.장악하다 \xa0 4.난처하게 하다']"
98,望
99,"['[ wàng ]', '1.바라보다 \xa0 2.방문하다 \xa0 3.바라다 \xa0 4.명망']"
