id,0,1
0,我,"['[ wǒ ]', '1.나 \xa0 2.우리 \xa0 3.자기']"
1,的,"['[ ‧de ]', '1.‘定语’ 의 뒤에 붙음 \xa0 2.한정어와 중심어의 관계가 일반적인 수식 관계임']"
2,你,"['[ nǐ ]', '1.너 \xa0 2.너희들 \xa0 3.사람 \xa0 4.서로의 의미를 나타냄']"
3,是,"['[ shì ]', '1.맞다 \xa0 2.옳다고 여기다 \xa0 3.예']"
4,了,"['[ ‧le ]', '1.동사 또는 형용사 뒤에 쓰여 동작 또는 변화가 이미 완료되었음을 나타냄 \xa0 2.실제로 이미 발생한 동작이나 변화에 사용됨']"
5,不,"['[ bù ]', '1.동사·형용사와 다른 부사의 앞에 쓰여 부정을 표시함 \xa0 2.현재·미래의 행위·동작·심리 상태·의지·가능성을 부정 \xa0 3.비동작 동사를 부정']"
6,们,"['[ zhè ]', '1.이 \xa0 2.이때 \xa0 3.이것 \xa0 4.이렇게']"
7,这,"['[ yī ]', '1.≒첫째 \xa0 2.같다 \xa0 3.하나의']"
8,一,"['[ tā ]', '1.그 \xa0 2.동사와 수량사 사이에 ‘{동사}+~+{수사}’의 형태로 쓰여 어세를 강하게 함 \xa0 3.다른 곳 \xa0 4.다른']"
9,他,"['[ ‧ma ]', '1.구말에 사용하여 의문을 표시함 \xa0 2.반어법을 구성하여 긍정의 뜻을 표시 함 \xa0 3.확실한 긍정의 어기를 나타냄']"
10,么,"['[ zài ]', '1.생존하다 \xa0 2.존재하다 \xa0 3.…에 있다 \xa0 4.참가하다']"
11,在,"['[ yǒu ]', '1.가지고 있다 \xa0 2.…만큼 되다 \xa0 3.생기다 \xa0 4.…되다']"
12,有,"['[ gè ]', '1.개 \xa0 2.개략적인 수 앞에 쓰임']"
13,个,"['[ hǎo ]', '1.좋다 \xa0 2.‘看·听·闻·吃·受·使·玩儿’ 등의 동사 앞에 쓰여 모양·소리·냄새·맛·감각 등이 만족할 만큼 좋음을 나타냄 \xa0 3.친근하다 \xa0 4.건강하다']"
14,好,"['[ lái ]', '1.오다 \xa0 2.발생하다 \xa0 3.하다']"
15,来,"['[ rén ]', '1.인간 \xa0 2.매인 \xa0 3.어른 \xa0 4.어떤 특정한 일에 종사하는 사람']"
16,人,"['[ nà ]', '1.저것 \xa0 2.그것 \xa0 3.그러면 \xa0 4.그렇다면']"
17,那,"['[ yào ]', '1.중요하다 \xa0 2.요점 \xa0 3.필요하다 \xa0 4.요구하다']"
18,中,"['[ zhōng ]', '1.한가운데 \xa0 2.중급 \xa0 3.안 \xa0 4.중개인']"
19,哦,"['[ qíng ]', '1.감정 \xa0 2.정분이나 체면 \xa0 3.호의 \xa0 4.애정']"
20,情,"['[ zuò ]', '1.제조하다 \xa0 2.짓다 \xa0 3.하다 \xa0 4.행하다']"
21,作,"['[ gēn ]', '1.뒤꿈치 \xa0 2.따라가다 \xa0 3.시집가다 \xa0 4.동작의 대상을 이끌어 들일 때 쓰임']"
22,跟,"['[ miàn ]', '1.쪽 \xa0 2.면전에서 \xa0 3.향하다 \xa0 4.만나다']"
23,面,"['[ sù ]', '1.알리다 \xa0 2.하소연하다 \xa0 3.사용하다 \xa0 4.고소하다']"
24,诉,"['[ ài ]', '1.사랑 \xa0 2.…하기를 좋아하다 \xa0 3.아끼다 \xa0 4.…하고 싶어하다']"
25,爱,"['[ yǐ ]', '1.그치다 \xa0 2.이미 \xa0 3.나중에 \xa0 4.너무']"
26,已,"['[ zhī ]', '1.가다 \xa0 2.그 \xa0 3.이']"
27,之,"['[ wèn ]', '1.묻다 \xa0 2.위문하다 \xa0 3.심문하다 \xa0 4.판결하다']"
28,问,"['[ cuò ]', '1.들쑥날쑥하다 \xa0 2.갈다 \xa0 3.교행하다 \xa0 4.놓치다']"
29,错,"['[ gāi ]', '1.층층대 뜰 \xa0 2.등급 \xa0 3.언덕 \xa0 4.계단']"
30,孩,"['[ sī ]', '1.이 \xa0 2.즉 \xa0 3.…의']"
31,斯,"['[ chéng ]', '1.이루다 \xa0 2.성사시키다 \xa0 3.되다 \xa0 4.성취']"
32,成,"['[ tā ]', '1.그 \xa0 2.저 \xa0 3.그것 \xa0 4.저것']"
33,它,"['[ gǎn ]', '1.느끼다 \xa0 2.감동시키다 \xa0 3.감사하다 \xa0 4.감기에 걸리다']"
34,感,"['[ gàn ]', '1.사물의 주체 또는 중요한 부분 \xa0 2.간부 \xa0 3.하다 \xa0 4.…하다']"
35,干,"['[ fǎ ]', '1.법 \xa0 2.방법 \xa0 3.표준 \xa0 4.모방하다']"
36,法,"['[ diàn ]', '1.전기 \xa0 2.감전하다 \xa0 3.‘电报’ 또는 ‘电话’의 준말 \xa0 4.전보를 치다']"
37,电,"['[ jiàn ]', '1.틈 \xa0 2.사이를 두다 \xa0 3.이간시키다 \xa0 4.솎다']"
38,间,"['[ nǎ ]', '1.어느 \xa0 2.어느 것']"
39,哪,"['[ xī ]', '1.서쪽 \xa0 2.서양 \xa0 3.‘西门子’의 준말 \xa0 4.성']"
