,0,1,2,3,4
0,爱,/zh/entry?entryID=c_36f2bae2,ài,(사람·사물등을)사랑하다.,1급
1,八,/zh/entry?entryID=c_31fdbbe9,bā,8.팔.여덟.,1급
2,爸爸,/zh/entry?entryID=c_3efbbbf4,bàba,아빠.아버지.,1급
3,北京,/zh/entry?entryID=c_3bf2b5e6c8,Běijīng,베이징.중국의수도로서‘京’이라약칭함.중국행정구역등급으로는‘...,1급
4,杯子,/zh/entry?entryID=c_3bf1b8e3c7,bēizi,(술·물·차등음료의)잔.컵.,1급
5,本,/zh/entry?entryID=c_3bfdbbe3d6,běn,(～儿)책.공책.,1급
6,不,/zh/entry?entryID=c_3cf6b9e2cd,bù,(동사·형용사또는기타부사앞에서)부정(否定)을나타냄.,1급
7,不客气,/zh/entry?entryID=c_3cf1b4e3c4,búkèqi,사양하지않다.체면차리지않다.,1급
8,菜,/zh/entry?entryID=c_3ff7b4ecd6,cài,채소.야채.푸성귀.남새.,1급
9,茶,/zh/entry?entryID=c_3ef6b5e0c9,chá,차나무.,1급
10,吃,/zh/entry?entryID=c_30f7b5e0bc,chī,먹다.마시다.빨다.피우다.,1급
11,出租车,/zh/entry?entryID=c_3af6b8e1ab74,chūzūchē,택시.,1급
12,大,/zh/entry?entryID=c_3af5bdefaf8a,dà,(부피·면적등이)크다.넓다.(수량이)많다.(힘·강도등이)세다....,1급
13,打电话,/zh/entry?entryID=c_3cf8bbe6ad0e90,dǎdiànhuà,전화를걸다.전화하다.,1급
14,的,/zh/entry?entryID=c_3af3bae0aa71,de,관형어뒤에쓰여,관형어와중심어사이가종속관계임을나타냄.
15,点,/zh/entry?entryID=c_3af0bae3aa71,diǎn,(～儿)약간.조금.,1급
16,电脑,/zh/entry?entryID=c_3af0b8e0a96b,diànnǎo,컴퓨터(computer).,1급
17,电视,/zh/entry?entryID=c_3af0b9e7a46e,diànshì,텔레비전.사물의영상정보를전기신호로전송하는통신방식,1급
18,电影(儿),/zh/entry?entryID=c_3af0b9e0ae71,diànyǐng(r),(종합예술로서의)영화.,1급
19,东西,/zh/entry?entryID=c_3af1b9e6ad77,dōngxi,(구체적인혹은추상적인)것.물건.사물.물품.,1급
20,都,/zh/entry?entryID=c_3af1b7e3a56a,dōu,모두.다.전부.일반적으로총괄하는내용앞에쓰임,1급
21,读,/zh/entry?entryID=c_3afebde3ad85,dú,글을소리내어읽다.낭독하다.,1급
22,对不起,/zh/entry?entryID=c_3afeb9e1ac7e,duìbuqǐ,미안합니다.죄송합니다.,1급
23,多,/zh/entry?entryID=c_3afeb7e1a878,duō,(수량이)많다.,1급
24,多少,/zh/entry?entryID=c_3affbee4a47f,duōshǎo,얼마간.약간.다소.좀.,1급
25,二,/zh/entry?entryID=c_3affb8e7af87,èr,2.둘.,1급
26,儿子,/zh/entry?entryID=c_3affbaefa486,érzi,아들.,1급
