id,rel
856.0,[0]
912.0,"[0, 32]"
1365.0,[0]
1655.0,"[0, 233]"
1990.0,[0]
1991.0,[0]
1992.0,[0]
2214.0,[0]
2234.0,[0]
2308.0,"[0, 63]"
2871.0,"[0, 346]"
1227.0,[1]
2064.0,[1]
2388.0,[1]
770.0,"[2, 40]"
1095.0,[2]
1151.0,[2]
1246.0,"[2, 281]"
1264.0,[2]
1492.0,"[2, 187]"
1825.0,[2]
2026.0,[2]
2050.0,[2]
2677.0,[2]
3209.0,[2]
3404.0,[2]
3965.0,"[2, 134]"
4628.0,"[2, 501]"
3173.0,[3]
3283.0,[3]
745.0,[4]
1082.0,"[4, 447]"
1775.0,[4]
2543.0,[4]
2544.0,[4]
4235.0,[4]
742.0,[5]
997.0,"[5, 160, 161]"
1005.0,[5]
1215.0,"[5, 439]"
1446.0,[5]
1633.0,[5]
3335.0,[5]
4371.0,[5]
934.0,[7]
974.0,[7]
1163.0,[7]
1386.0,[7]
1392.0,[7]
1481.0,"[7, 64]"
1510.0,"[7, 91]"
1515.0,"[7, 310]"
1716.0,[7]
2646.0,"[7, 108]"
3063.0,[7]
3105.0,[7]
3163.0,[7]
3973.0,"[7, 209]"
818.0,"[10, 50]"
1497.0,[10]
1505.0,[10]
1506.0,[10]
1699.0,"[10, 281]"
1711.0,[10]
1939.0,"[10, 404]"
1967.0,[10]
1968.0,[10]
1977.0,[10]
2031.0,[10]
2494.0,[10]
2513.0,[10]
2650.0,[10]
2664.0,[10]
2666.0,[10]
2681.0,[10]
2720.0,[10]
2730.0,[10]
2787.0,"[10, 174]"
4440.0,[10]
1970.0,[11]
3504.0,[11]
739.0,[12]
1373.0,[12]
2535.0,[12]
3186.0,[12]
1198.0,"[14, 92]"
2861.0,"[14, 64]"
883.0,"[15, 258]"
1094.0,[15]
1103.0,[15]
2130.0,[15]
3465.0,"[15, 246]"
3496.0,[15]
3502.0,[15]
3503.0,[15]
867.0,[16]
943.0,"[16, 223]"
1048.0,"[16, 586]"
952.0,[20]
801.0,"[21, 81]"
900.0,"[21, 327]"
902.0,[21]
1221.0,[21]
2410.0,[21]
2411.0,[21]
2833.0,[21]
3134.0,"[21, 268]"
3319.0,[21]
3374.0,[21]
4462.0,[21]
1399.0,"[22, 703]"
731.0,"[23, 69]"
1031.0,[23]
1114.0,[23]
2006.0,[23]
2013.0,[23]
1166.0,[24]
2492.0,[24]
961.0,"[25, 67]"
2077.0,"[25, 141]"
2082.0,[25]
2084.0,"[25, 65]"
2474.0,[25]
3759.0,[25]
1206.0,[26]
2160.0,"[26, 531]"
2996.0,"[26, 205]"
3417.0,[26]
3864.0,[26]
4045.0,[26]
4089.0,[26]
4090.0,[26]
4094.0,[26]
4095.0,[26]
4099.0,[26]
4322.0,[26]
4626.0,[26]
4707.0,[26]
925.0,[29]
1785.0,[29]
1445.0,[30]
1798.0,[30]
2029.0,"[30, 295]"
2803.0,"[30, 469]"
4046.0,[30]
4100.0,[30]
1652.0,[31]
2176.0,[31]
787.0,"[32, 44]"
1123.0,"[32, 490]"
1140.0,"[32, 154]"
1150.0,[32]
1254.0,"[32, 160, 161]"
1478.0,[32]
1479.0,"[32, 196]"
2098.0,[32]
2187.0,[32]
2287.0,[32]
2727.0,[32]
758.0,[34]
762.0,[36]
769.0,[36]
854.0,"[36, 40]"
1651.0,[36]
3888.0,[36]
1428.0,"[37, 432]"
1192.0,[38]
