id, rel
4892.0,"[0, 62]"
4912.0,"[5, 62, 231]"
4919.0,[5]
4944.0,[5]
4914.0,[6]
4915.0,"[7, 115]"
4941.0,"[7, 279]"
4955.0,"[10, 316]"
4996.0,[10]
4971.0,"[16, 40]"
4896.0,[23]
4889.0,"[32, 142]"
4951.0,"[36, 61, 62]"
4906.0,"[38, 404]"
4966.0,"[39, 604]"
4924.0,"[40, 115]"
4950.0,"[40, 62, 718]"
4962.0,[40]
4965.0,"[40, 85, 90, 271, 290]"
4985.0,"[40, 62, 718]"
5002.0,"[40, 62]"
4969.0,"[41, 104, 128]"
4886.0,[50]
4902.0,"[53, 66, 275]"
4970.0,[55]
4922.0,[59]
4946.0,"[61, 105]"
4974.0,"[61, 188]"
4885.0,[62]
4894.0,"[62, 301]"
4899.0,"[62, 224]"
4904.0,[62]
4913.0,[62]
4925.0,[62]
4935.0,"[62, 356]"
4940.0,"[62, 85, 290]"
4947.0,"[62, 163]"
4949.0,"[62, 301]"
4956.0,"[62, 137, 228, 329]"
4958.0,[62]
4967.0,[62]
4977.0,[62]
4960.0,[63]
4945.0,[65]
4881.0,"[67, 102]"
4920.0,"[76, 439]"
4937.0,"[76, 223, 356]"
4989.0,"[76, 126, 176]"
4933.0,"[85, 290, 298]"
4882.0,"[93, 124]"
4883.0,"[99, 185]"
4888.0,"[104, 302]"
4976.0,[107]
4988.0,[108]
4968.0,"[111, 281]"
4934.0,"[113, 244]"
5000.0,[124]
4994.0,[128]
4895.0,"[138, 150, 404]"
4908.0,"[140, 197]"
4901.0,"[142, 299, 370]"
4981.0,[153]
4887.0,"[172, 198, 219]"
4991.0,[175]
4903.0,"[177, 301]"
4973.0,"[184, 434]"
4987.0,[188]
4897.0,[205]
4942.0,[209]
4900.0,[217]
4931.0,[223]
4932.0,[223]
4993.0,[230]
4911.0,[271]
4916.0,"[271, 281, 327]"
4907.0,[277]
4983.0,"[298, 316]"
4918.0,"[301, 328]"
4948.0,"[301, 355]"
4923.0,[310]
4921.0,"[316, 370]"
4927.0,[324]
4928.0,"[329, 356]"
4890.0,"[336, 356]"
4917.0,"[351, 439]"
4939.0,"[351, 355]"
4975.0,[355]
4995.0,[355]
4910.0,[356]
4930.0,[356]
4938.0,[356]
4954.0,[356]
4959.0,[356]
4984.0,[418]
4957.0,[439]
4964.0,[469]
4929.0,[499]
4998.0,[505]
4961.0,[514]
4999.0,[562]
