id,rel
856,[0]
,
912,"[0, 32]"
,
1365,[0]
,
1655,"[0, 233]"
,
1990,[0]
,
1991,[0]
,
1992,[0]
,
2214,[0]
,
2234,[0]
,
2308,"[0, 63]"
,
2871,"[0, 346]"
,
1227,[1]
,
2064,[1]
,
2388,[1]
,
770,"[2, 40]"
,
1095,[2]
,
1151,[2]
,
1246,"[2, 281]"
,
1264,[2]
,
1492,"[2, 187]"
,
1825,[2]
,
2026,[2]
,
2050,[2]
,
2677,[2]
,
3209,[2]
,
3404,[2]
,
3965,"[2, 134]"
,
4628,"[2, 501]"
,
3173,[3]
,
3283,[3]
,
745,[4]
,
1082,"[4, 447]"
,
1775,[4]
,
2543,[4]
,
2544,[4]
,
4235,[4]
,
742,[5]
,
997,"[5, 160, 161]"
,
1005,[5]
,
1215,"[5, 439]"
,
1446,[5]
,
1633,[5]
,
3335,[5]
,
4371,[5]
,
934,[7]
,
974,[7]
,
1163,[7]
,
1386,[7]
,
1392,[7]
,
1481,"[7, 64]"
,
1510,"[7, 91]"
,
1515,"[7, 310]"
,
1716,[7]
,
2646,"[7, 108]"
,
3063,[7]
,
3105,[7]
,
3163,[7]
,
3973,"[7, 209]"
,
818,"[10, 50]"
,
1497,[10]
,
1505,[10]
,
1506,[10]
,
1699,"[10, 281]"
,
1711,[10]
,
1939,"[10, 404]"
,
1967,[10]
,
1968,[10]
,
1977,[10]
,
2031,[10]
,
2494,[10]
,
2513,[10]
,
2650,[10]
,
2664,[10]
,
2666,[10]
,
2681,[10]
,
2720,[10]
,
2730,[10]
,
2787,"[10, 174]"
,
4440,[10]
,
1970,[11]
,
3504,[11]
,
739,[12]
,
1373,[12]
,
2535,[12]
,
3186,[12]
,
1198,"[14, 92]"
,
2861,"[14, 64]"
,
883,"[15, 258]"
,
1094,[15]
,
1103,[15]
,
2130,[15]
,
3465,"[15, 246]"
,
3496,[15]
,
3502,[15]
,
3503,[15]
,
867,[16]
,
943,"[16, 223]"
,
1048,"[16, 586]"
,
952,[20]
,
801,"[21, 81]"
,
900,"[21, 327]"
,
902,[21]
,
1221,[21]
,
2410,[21]
,
2411,[21]
,
2833,[21]
,
3134,"[21, 268]"
,
3319,[21]
,
3374,[21]
,
4462,[21]
,
1399,"[22, 703]"
,
731,"[23, 69]"
,
1031,[23]
,
1114,[23]
,
2006,[23]
,
2013,[23]
,
1166,[24]
,
2492,[24]
,
961,"[25, 67]"
,
2077,"[25, 141]"
,
2082,[25]
,
2084,"[25, 65]"
,
2474,[25]
,
3759,[25]
,
1206,[26]
,
2160,"[26, 531]"
,
2996,"[26, 205]"
,
3417,[26]
,
3864,[26]
,
4045,[26]
,
4089,[26]
,
4090,[26]
,
4094,[26]
,
4095,[26]
,
4099,[26]
,
4322,[26]
,
4626,[26]
,
4707,[26]
,
925,[29]
,
1785,[29]
,
1445,[30]
,
1798,[30]
,
2029,"[30, 295]"
,
2803,"[30, 469]"
,
4046,[30]
,
4100,[30]
,
1652,[31]
,
2176,[31]
,
787,"[32, 44]"
,
1123,"[32, 490]"
,
1140,"[32, 154]"
,
1150,[32]
,
1254,"[32, 160, 161]"
,
1478,[32]
,
1479,"[32, 196]"
,
2098,[32]
,
2187,[32]
,
2287,[32]
,
2727,[32]
,
758,[34]
,
762,[36]
,
769,[36]
,
854,"[36, 40]"
,
1651,[36]
,
3888,[36]
,
1428,"[37, 432]"
,
1192,[38]
,
1552,"[38, 453]"
,
1553,[38]
,
1598,[38]
,
1846,[38]
,
2118,[38]
,
2164,"[38, 319]"
,
3131,[38]
,
3243,"[38, 277]"
,
3321,"[38, 156]"
,
3617,[38]
,
4183,[38]
,
761,[39]
,
832,[39]
,
947,[39]
,
1175,"[39, 44]"
,
1442,"[39, 51]"
,
1647,[39]
,
1653,[39]
,
4417,[39]
,
823,[40]
,
840,[40]
,
905,"[40, 418]"
,
907,[40]
,
918,[40]
,
926,[40]
,
928,"[40, 55]"
,
931,[40]
,
932,[40]
,
1156,"[40, 534]"
,
1519,[40]
,
1537,[40]
,
1566,"[40, 113]"
,
1573,[40]
,
1672,"[40, 216]"
,
1771,[40]
,
1789,[40]
,
3695,[40]
,
3935,[40]
,
3936,[40]
,
3955,"[40, 209]"
,
1001,"[41, 461]"
,
3560,"[41, 490]"
,
4743,"[41, 54]"
,
760,[42]
,
846,"[42, 490]"
,
1283,[42]
,
1526,[42]
,
1528,[42]
,
1925,"[42, 345]"
,
3327,[42]
,
4439,"[42, 317]"
,
1410,[44]
,
1877,[44]
,
4237,[44]
,
4238,"[44, 279]"
,
1292,[49]
,
968,[50]
,
1139,[50]
,
1321,[50]
,
1706,[50]
,
2273,[50]
,
2274,[50]
,
2275,[50]
,
2701,"[50, 65]"
,
2894,[50]
,
3211,[50]
,
3215,[50]
,
4627,[50]
,
825,[51]
,
1435,[51]
,
1790,[51]
,
1899,[51]
,
2182,[51]
,
2244,[51]
,
3734,[51]
,
4686,[53]
,
864,[55]
,
979,[55]
,
1074,[55]
,
1089,[55]
,
