id, rel
4837,"[3, 62]"
4840,[4]
4857,[4]
4791,"[7, 85, 290]"
4795,"[7, 62]"
4797,"[10, 347]"
4879,"[10, 16, 62]"
4814,"[12, 62]"
4861,"[14, 54]"
4787,"[16, 62]"
4817,"[16, 62, 85, 290]"
4825,"[16, 62]"
4806,"[21, 69, 519]"
4802,"[23, 62, 226]"
4844,"[23, 182]"
4878,[26]
4798,"[39, 67]"
4834,[39]
4818,"[40, 67]"
4865,[49]
4839,"[51, 62]"
4874,[55]
4829,"[57, 229]"
4788,"[60, 89, 129]"
4811,[60]
4762,[62]
4764,"[62, 121, 123]"
4796,"[62, 85, 290]"
4816,"[62, 85, 290]"
4819,"[62, 134]"
4821,[62]
4826,"[62, 85, 290]"
4835,"[62, 85, 290]"
4841,"[62, 85, 290]"
4848,"[62, 85, 290, 320]"
4849,"[62, 196]"
4860,"[62, 85, 290]"
4862,"[62, 267, 351]"
4870,"[62, 85, 290, 390]"
4775,[64]
4832,[65]
4843,"[65, 351]"
4778,[82]
4799,[84]
4847,"[84, 471]"
4804,"[101, 219]"
4836,"[104, 180]"
4822,"[122, 150, 202]"
4772,[130]
4763,"[137, 250]"
4856,"[140, 197]"
4842,[144]
4782,"[150, 189, 355]"
4868,[156]
4871,[172]
4794,"[174, 258]"
4877,"[175, 322]"
4774,[180]
4863,"[182, 283]"
4838,"[184, 511]"
4872,[187]
4768,"[200, 262]"
4800,[200]
4830,"[206, 522]"
4846,[215]
4809,[218]
4761,"[222, 522]"
4765,[223]
4858,[254]
4777,[256]
4845,"[262, 374]"
4853,[270]
4827,[273]
4864,"[273, 326]"
4824,[283]
4873,"[283, 715]"
4793,[321]
4771,[342]
4776,[342]
4815,"[356, 439]"
4867,[369]
4831,[371]
4785,[410]
4812,[410]
