,회사명,채용정보,채용링크,요구경력,요구학벌,직장위치,지원종료일
0,㈜웹타임,"빅데이터, 인공지능, 하둡, R, 파이썬, 머신러닝, 딥러닝, 챗봇, 스파크 등 4차 산업 분야 전문강사 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30519971?Oem_Code=C1&logpath=1,경력3년↑,석사↑,서울 강남구,~01/12(일)
1,아이티컨버젼,"인공지능(AI) 딥러닝,빅데이타,영상처리[c#/c++/Python] 개발 채용",http://www.jobkorea.co.kr//Recruit/GI_Read/30424595?Oem_Code=C1&logpath=1,신입·경력3년↑,대졸↑,서울 송파구,~12/18(수)
2,㈜엑스투소프트,[경력] eCommerce 동료를 찾습니다.,http://www.jobkorea.co.kr//Recruit/GI_Read/30452831?Oem_Code=C1&logpath=1,경력3년↑,학력무관,경기 성남시,~01/06(월)
3,한국폴리텍융합기술교육원,ICTㆍ바이오 분야 하이테크(대졸자 취업연계)과정 신입생 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30274094?Oem_Code=C1&logpath=1,경력무관,대졸↑,경기 성남시,~12/18(수)
4,펍지 주식회사,부문별 수시 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30450593?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 서초구,~01/06(월)
5,대한상공회의소 광주인력개발원,2020년도 국비기술교육생 모집[4차산업/취업유망/VR/IoT/AI],http://www.jobkorea.co.kr//Recruit/GI_Read/30461229?Oem_Code=C1&logpath=1,경력무관,학력무관,광주 전지역 외,상시채용
6,㈜휴넷,2019년 ㈜휴넷 DBA/머신러닝/딥러닝 엔지니어 신입/경력직 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30495138?Oem_Code=C1&logpath=1,신입·경력1년↑,학력무관,서울 구로구,~12/22(일)
7,포티투마루,인공지능 검색 QA 서비스 개발 직군 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30392423?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 관악구,~12/29(일)
8,재단법인그린피스,[재단법인 그린피스] 분야별 신입/경력 인재 모집(채용시 마감),http://www.jobkorea.co.kr//Recruit/GI_Read/30371527?Oem_Code=C1&logpath=1,신입·경력3년↑,대졸↑,서울 용산구,~12/27(금)
9,유한회사 딜리버리히어로 코리아,Search Developer,http://www.jobkorea.co.kr//Recruit/GI_Read/30316881?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 전지역 외,~12/21(토)
10,㈜라인플러스,광고 플랫폼 경력사원 공개채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30365817?Oem_Code=C1&logpath=1,경력,학력무관,경기 성남시,~12/16(월)
11,㈜마크애니,영상보안 R&D (프론트엔드/백엔드/코어/인공지능/컴퓨터비전),http://www.jobkorea.co.kr//Recruit/GI_Read/30330036?Oem_Code=C1&logpath=1,경력,대졸↑,서울 중구,~12/22(일)
12,효성ITX㈜,[효성ITX] TA서비스/녹취 솔루션 개발 담당 경력사원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30270778?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 영등포구,~12/17(화)
13,한양대학교 ERICA캠퍼스,2020년도 전반기 2차 창의융합교육원 교양 교과목 강사,http://www.jobkorea.co.kr//Recruit/GI_Read/30522240?Oem_Code=C1&logpath=1,신입·경력,대졸↑,경기 안산시,~12/20(금)
14,㈜엠포스,[경력] 빅데이터 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30483961?Oem_Code=C1&logpath=1,경력1년↑,학력무관,서울 서초구,~12/17(화)
15,알피니언메디칼시스템㈜,[일진그룹 계열사] 초음파의료기기 알고리즘 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30477441?Oem_Code=C1&logpath=1,신입·경력3년↑,석사↑,경기 안양시,~01/08(수)
16,㈜에스에프에이,(주)에스에프에이 R&D센터 (12월04일 부터 12월22일),http://www.jobkorea.co.kr//Recruit/GI_Read/30436050?Oem_Code=C1&logpath=1,경력1년↑,대졸↑,경기 화성시,~12/22(일)
17,㈜지에스아이티엠(GSITM),[GS ITM] 데이터 분석 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30421863?Oem_Code=C1&logpath=1,경력4년↑,대졸↑,서울 전지역,~01/01(수)
18,㈜유니포인트,[유니포인트] 인공지능 개발자 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30361230?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 동작구,~12/26(목)
19,SK텔레콤,[Junior] 기계학습/딥러닝 기반 자연어 이해(NLU) 기술 개발 역량 보유자,http://www.jobkorea.co.kr//Recruit/GI_Read/30355018?Oem_Code=C1&logpath=1,신입·경력,석사↑,서울 중구,~12/25(수)
20,㈜웹플래너,ㅁ텐서플로우 활용 딥러닝 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30535305?Oem_Code=C1&logpath=1,경력2년↑,석사↑,서울 용산구,~01/15(수)
21,㈜엘솔루,(주)엘솔루 NLP 연구개발직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30533615?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 전지역,~12/31(화)
22,㈜자이오넥스,SCM 사업부문 경력사원 모집(부산-남부사업본부),http://www.jobkorea.co.kr//Recruit/GI_Read/30529259?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,부산 전지역 외,~01/10(금)
