,회사명,채용정보,채용링크,요구경력,요구학벌,직장위치,지원종료일
0,㈜알고랩,"[물류IT 스타트업]Back-End 경력 개발자(Python, Django)",http://www.jobkorea.co.kr//Recruit/GI_Read/30322142?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/22(일)
1,㈜아이튼,2019 하반기 코딩교육 선생님 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30320268?Oem_Code=C1&logpath=1,경력무관,초대졸↑,서울 강남구 외,~12/14(토)
2,모비데이즈,모비데이즈 데이터분석 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30321176?Oem_Code=C1&logpath=1,경력1년↑,학력무관,서울 강남구,~12/21(토)
3,㈜스낵포,[스낵포] 간식을 사랑하는 `Django 개발자` 찾습니다,http://www.jobkorea.co.kr//Recruit/GI_Read/30296017?Oem_Code=C1&logpath=1,신입·경력1년↑,대졸↑,경기 성남시,~12/19(목)
4,㈜엔디소프트,빅데이터 부문 채용 공고,http://www.jobkorea.co.kr//Recruit/GI_Read/30295795?Oem_Code=C1&logpath=1,경력무관,학력무관,부산 전지역,~12/19(목)
5,바이플㈜,데이터 엔지니어링 업무를 담당할 인재를 찾고 있습니다.,http://www.jobkorea.co.kr//Recruit/GI_Read/30293555?Oem_Code=C1&logpath=1,경력5년↑,대졸↑,경기 전지역 외,~01/18(토)
6,㈜지디에프랩,"인공지능(AI), TensorFlow 외 정규직 모집 공고(신입&경력)",http://www.jobkorea.co.kr//Recruit/GI_Read/30265656?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 강남구,~12/15(일)
7,비타,인공지능 파이썬 연구원,http://www.jobkorea.co.kr//Recruit/GI_Read/30255790?Oem_Code=C1&logpath=1,경력무관,학력무관,전북 전주시,~01/13(월)
8,㈜티디아이,TDI 채용공고 - 데이터사이언스팀,http://www.jobkorea.co.kr//Recruit/GI_Read/30255119?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 전지역 외,~12/14(토)
9,데이터마케팅코리아,인공지능솔루션 Front/Back-end 개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30232753?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 강남구,~12/12(목)
10,던험비코리아,[던험비-영국계컨설팅] 경력 Data Analyst 빅데이터 통계 분석,http://www.jobkorea.co.kr//Recruit/GI_Read/30231218?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 영등포구,~12/12(목)
11,이젠컴퓨터아카데미,[노원] 파이썬 빅데이터 분석 강사 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30225855?Oem_Code=C1&logpath=1,경력5년↑,초대졸↑,서울 노원구,~12/12(목)
12,이지지아이에스㈜,JAVA web 개발 경력자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30217219?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 금천구,~12/11(수)
13,㈜웨이브릿지,성장하는 핀테크 스타트업 Back-End Developer 경력직 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30216357?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,서울 강남구,상시채용
14,㈜미로,㈜미로  기술연구소 병역특례(전문연구요원) R&D 인력 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30208325?Oem_Code=C1&logpath=1,경력2년↑,석사↑,경기 김포시 외,~12/31(화)
15,㈜머니브레인,[인공지능 기업]머니브레인 병역특례 산업기능요원 SW개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30122027?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 강남구 외,~12/20(금)
16,㈜자비스,[코스닥 상장사] 머신비전 영상처리 검사 알고리즘 개발 연구원 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30477155?Oem_Code=C1&logpath=1,경력무관,학력무관,전국,~12/30(월)
17,루나랩스㈜,"영상인식 개발자 모집(OpenCV, Linux, C/C++가능자)",http://www.jobkorea.co.kr//Recruit/GI_Read/30501967?Oem_Code=C1&logpath=1,경력무관,초대졸↑,서울 성북구,~12/18(수)
18,㈜펨트론,"기업부설연구소 (응용프로그래머, 영상처리, AI) 전문연구요원",http://www.jobkorea.co.kr//Recruit/GI_Read/30499773?Oem_Code=C1&logpath=1,신입·경력2년↑,석사↑,서울 금천구,~01/10(금)
19,㈜올리브헬스케어,디지털헬스케어 퍼포먼스 마케터 (경력직),http://www.jobkorea.co.kr//Recruit/GI_Read/30493400?Oem_Code=C1&logpath=1,경력4년↑,대졸↑,서울 송파구,~01/09(목)
