,회사명,채용정보,채용링크,요구경력,요구학벌,직장위치,지원종료일
0,㈜휴넷,2019년 ㈜휴넷 DBA/머신러닝/딥러닝 엔지니어 신입/경력직 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30495138?Oem_Code=C1&logpath=1,신입·경력1년↑,학력무관,서울 구로구,~12/22(일)
1,㈜웹타임,"빅데이터, 인공지능, 하둡, R, 파이썬, 머신러닝, 딥러닝, 챗봇, 스파크 등 4차 산업 분야 전문강사 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30229948?Oem_Code=C1&logpath=1,경력5년↑,석사↑,서울 강남구,~12/12(목)
2,㈜인라이플,(업계1위/복지우수) 빅데이터 머신러닝 전문가 인재채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30447785?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 구로구 외,~12/19(목)
3,㈜아이넷캅,"해킹/보안, 딥러닝/머신러닝 개발자(전문연구요원 및 경력직) 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30493528?Oem_Code=C1&logpath=1,경력1년↑,대졸↑,서울 송파구 외,~02/07(금)
4,㈜엔씨소프트,[엔씨소프트] 머신러닝 서비스 개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30492979?Oem_Code=C1&logpath=1,경력3년↑,학력무관,경기 성남시,~01/08(수)
5,㈜아이알에스소프트코리아,[인공지능 IT기업] 자연어처리 / 검색엔진 / 인공지능 / 머신러닝 / 딥러닝 개발자분 모집합니다.,http://www.jobkorea.co.kr//Recruit/GI_Read/30478619?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 구로구,~01/08(수)
6,㈜ 알세미,머신러닝 엔지니어 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30468810?Oem_Code=C1&logpath=1,경력무관,대졸↑,경기 성남시,~01/08(수)
7,㈜뷰노,"2019 부문별 공개채용 (머신러닝, SW개발 외)",http://www.jobkorea.co.kr//Recruit/GI_Read/30426606?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 서초구,~01/02(목)
8,㈜에스알포스트,자연어처리 및 머신러닝 개발자 모집(경력직),http://www.jobkorea.co.kr//Recruit/GI_Read/30411589?Oem_Code=C1&logpath=1,경력1년↑,초대졸↑,서울 구로구,~01/01(수)
9,애니메디솔루션㈜,의료영상처리 :  머신러닝 / 3D rendering / CAD & CAM 신입/경력 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30385794?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 송파구,~12/28(토)
10,㈜머니브레인,"[인공지능 기업] 머신러닝 엔지니어, 딥러닝 엔지니어 경력 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30353636?Oem_Code=C1&logpath=1,경력3년↑,석사↑,서울 강남구 외,~12/16(월)
11,닥터노아바이오텍,DataAnalysis/생명공학/python/머신러닝/R 외 경력무관 채용공고,http://www.jobkorea.co.kr//Recruit/GI_Read/30303783?Oem_Code=C1&logpath=1,신입·경력,석사↑,경기 수원시,~12/18(수)
12,오드컨셉㈜,Machine Learning Engineer/Researcher(머신러닝 엔지니어/연구원) - 3년차 이상,http://www.jobkorea.co.kr//Recruit/GI_Read/30285962?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/18(수)
13,리본소프트,"[신입&경력] 머신러닝, 인공지능(AI)개발자 채용",http://www.jobkorea.co.kr//Recruit/GI_Read/30224900?Oem_Code=C1&logpath=1,경력무관,고졸↑,서울 종로구,상시채용
14,모든바이오,"AI, 머신러닝 경력자 채용(석사졸업예정자 가능)",http://www.jobkorea.co.kr//Recruit/GI_Read/30218147?Oem_Code=C1&logpath=1,경력,석사↑,서울 구로구,~12/11(수)
